Country,Area,Waterbody_Type,Date,Ammonia_mg_L,BOD_mg_L,DO_mg_L,Orthophosphate_mg_L,pH,Temperature_C,Nitrogen_mg_L,Nitrate_mg_L,CCME_Values,CCME_WQI
China,Guangdong,River,06-07-2020,0.076,,10.46,0.009,8.14,23.6,0.95,2.36,90.03,Good
Canada,Ontario,Canal,08-10-2023,0.032,4.73,10.69,,7.84,21.7,0.12,0.34,92.46,Good
Ireland,Dublin,Canal,24-12-2020,0.214,0.17,14.75,0.081,6.72,18.4,,5.12,89.08,Good
England,Leeds,Reservoir,06-01-2021,0.101,2.2,11.72,0.009,6.67,17.1,1.71,0.84,92.21,Good
China,Jiangsu,Pond,04-10-2022,0.131,0.17,10.87,0.01,7.79,35.0,1.56,2.56,93.22,Good
USA,New York,Reservoir,16-04-2022,0.064,0.75,11.08,0.086,7.36,29.5,0.49,0.66,95.87,Excellent
Ireland,Galway,Pond,02-08-2020,0.175,2.49,10.52,,7.85,14.8,0.22,0.23,88.15,Good
Canada,British Columbia,Stream,21-11-2023,0.105,2.76,9.49,0.049,6.95,9.7,0.35,2.76,89.99,Good
England,Birmingham,Pond,31-03-2022,0.039,2.26,10.66,0.058,7.4,14.8,0.06,0.29,95.22,Excellent
China,Beijing,Stream,29-06-2020,0.033,3.63,13.11,0.051,7.36,11.8,0.95,1.08,93.83,Good
Ireland,Galway,Reservoir,25-08-2020,0.145,4.1,13.31,0.078,6.7,9.6,0.87,0.45,87.61,Good
England,London,Pond,16-01-2023,0.012,1.64,12.76,0.03,7.29,17.2,0.49,3.0,97.36,Excellent
England,Leeds,River,19-01-2021,0.25,,10.52,0.016,6.11,21.8,1.56,0.52,77.19,Fair
China,Guangdong,Creek,17-10-2022,0.002,3.27,12.32,0.165,7.15,16.6,1.04,0.55,95.82,Excellent
England,London,Lake,30-06-2021,0.028,0.2,11.9,0.001,6.93,21.5,0.51,0.54,98.36,Excellent
China,Shanghai,Reservoir,16-06-2022,0.136,0.71,14.45,0.002,8.12,2.1,1.87,2.87,92.31,Good
England,London,River,14-07-2023,0.004,3.17,10.47,0.044,7.68,28.7,4.31,2.9,95.87,Excellent
China,Shanghai,Pond,20-11-2020,0.091,3.56,12.64,0.006,7.12,9.1,0.08,3.61,90.98,Good
Ireland,Dublin,Creek,15-04-2022,0.056,1.46,11.88,0.019,7.69,19.0,0.46,2.23,95.36,Excellent
USA,Texas,Canal,20-08-2020,0.093,1.17,11.64,0.05,7.7,22.1,0.72,1.82,93.86,Good
England,London,Pond,11-11-2020,0.106,1.34,12.91,0.15,7.24,2.2,0.73,2.04,93.05,Good
England,Birmingham,Creek,15-12-2023,0.029,0.15,10.33,0.022,6.78,33.3,0.51,0.07,98.35,Excellent
Ireland,Limerick,Canal,15-09-2022,0.033,1.89,10.44,0.012,6.99,9.5,0.58,0.01,95.99,Excellent
England,Manchester,Stream,02-02-2023,0.072,1.7,10.27,0.017,7.16,23.7,2.15,0.76,94.28,Good
Canada,Alberta,Lake,12-05-2023,0.207,1.42,12.12,0.034,7.31,9.0,0.97,7.4,87.86,Good
China,Shanghai,Canal,22-05-2020,0.055,1.0,11.34,0.026,6.8,11.8,1.91,1.88,96.01,Excellent
Ireland,Limerick,Reservoir,05-11-2022,0.006,0.6,10.56,0.046,6.41,22.2,0.93,0.18,93.5,Good
Ireland,Dublin,Reservoir,03-09-2021,0.013,0.92,9.35,0.027,7.27,8.3,1.11,0.11,96.58,Excellent
China,Jiangsu,Canal,31-10-2020,0.045,2.27,12.77,0.045,7.09,9.8,0.01,1.52,94.92,Good
England,Leeds,Reservoir,11-11-2021,0.129,4.14,12.97,0.006,7.42,16.7,1.86,0.1,88.39,Good
China,Jiangsu,Stream,21-10-2021,0.067,0.7,11.86,0.043,6.63,15.9,0.04,0.2,95.8,Excellent
Canada,Quebec,Creek,23-02-2022,0.106,2.61,14.6,0.093,7.1,0.0,0.94,0.84,91.45,Good
Canada,Alberta,River,13-10-2021,0.16,1.18,12.77,0.086,6.6,22.4,1.56,3.73,90.51,Good
England,Leeds,Stream,21-09-2023,0.046,1.75,12.42,0.046,6.86,0.4,0.98,1.75,95.5,Excellent
Canada,Alberta,River,15-09-2020,0.042,4.42,10.67,0.008,6.65,11.7,0.02,1.56,92.36,Good
China,Guangdong,Canal,24-07-2020,0.053,0.15,14.95,0.019,7.09,3.7,0.9,1.4,97.18,Excellent
England,London,Creek,24-07-2022,0.015,2.33,12.43,0.033,6.58,10.3,0.02,1.06,96.33,Excellent
USA,Texas,Stream,02-09-2023,0.003,0.08,12.7,0.025,7.34,14.2,0.14,0.04,99.74,Excellent
Canada,Ontario,Stream,26-06-2021,0.312,0.25,11.56,0.019,7.07,27.8,1.75,1.39,84.08,Good
Ireland,Limerick,Pond,13-06-2020,0.078,0.83,11.0,0.008,7.05,2.7,0.65,1.17,95.06,Excellent
Ireland,Limerick,Reservoir,07-07-2023,0.022,0.6,8.9,0.003,7.52,19.0,0.34,0.47,95.41,Excellent
England,London,Creek,20-05-2020,0.087,0.85,12.69,0.007,6.93,15.5,0.47,1.48,94.59,Good
Canada,British Columbia,Lake,04-07-2020,0.022,1.94,13.88,0.025,6.0,12.7,0.03,0.97,88.95,Good
England,London,Canal,21-07-2023,0.24,,13.58,0.064,8.18,2.8,0.61,3.06,79.68,Fair
USA,New York,Lake,22-11-2023,0.21,0.65,12.72,0.144,7.35,11.9,0.13,0.93,88.71,Good
Ireland,Dublin,River,26-10-2021,0.089,3.98,12.6,0.024,7.03,14.9,0.27,0.34,90.58,Good
USA,Florida,Reservoir,06-02-2022,,1.72,7.7,0.197,6.9,26.0,0.42,2.64,82.06,Good
England,Manchester,Lake,23-12-2022,0.022,6.25,13.91,0.006,8.77,18.3,1.54,0.87,84.73,Good
England,Manchester,Lake,24-12-2020,0.065,0.04,14.48,0.058,7.5,0.0,1.03,1.77,96.71,Excellent
USA,Pennsylvania,Canal,22-02-2022,,0.89,11.21,0.016,7.3,11.7,0.19,4.74,90.73,Good
China,Shanghai,Stream,09-04-2023,0.015,2.7,12.68,0.07,7.68,19.1,1.17,1.61,95.86,Excellent
Canada,Quebec,Stream,30-07-2023,0.009,1.9,12.21,0.033,7.46,19.7,0.06,0.79,97.16,Excellent
Ireland,Limerick,Reservoir,27-09-2023,0.295,3.3,10.93,0.004,6.86,13.8,2.48,1.11,81.12,Good
USA,New York,Reservoir,19-10-2023,0.158,1.39,12.04,0.061,7.05,11.3,0.04,0.11,90.35,Good
China,Shanghai,River,23-06-2022,0.265,3.25,11.46,0.026,6.4,8.9,1.89,0.58,77.17,Fair
Ireland,Galway,Pond,18-05-2022,,2.05,13.03,0.046,6.73,2.7,0.35,1.57,78.13,Fair
Ireland,Limerick,Canal,10-09-2021,0.115,0.15,14.55,0.014,6.0,16.5,1.0,2.59,86.58,Good
Canada,Alberta,Canal,16-09-2022,0.015,1.47,13.87,0.075,7.82,16.9,,1.03,97.39,Excellent
USA,Texas,Stream,17-03-2023,0.038,2.76,11.54,0.0,6.85,11.7,0.57,0.07,94.64,Good
Ireland,Galway,Pond,27-08-2021,0.183,0.13,9.69,0.0,7.28,22.6,0.23,2.03,89.91,Good
USA,New York,Reservoir,17-01-2020,0.038,3.7,10.22,,6.87,12.6,,0.85,93.5,Good
China,Beijing,Creek,14-10-2022,0.009,6.65,13.32,0.058,6.79,13.2,0.54,0.74,91.22,Good
Ireland,Cork,Creek,22-12-2021,0.143,6.77,12.71,0.151,7.91,22.4,0.97,0.53,84.39,Good
Canada,Quebec,Creek,28-05-2021,0.005,2.07,11.41,0.022,7.82,16.6,2.51,1.04,97.17,Excellent
Canada,Ontario,Pond,16-08-2023,0.005,0.92,12.67,0.073,6.48,0.0,0.43,2.59,93.47,Good
USA,Florida,Canal,21-06-2022,0.064,2.14,13.04,0.106,6.59,11.8,0.19,1.7,94.13,Good
USA,Pennsylvania,Reservoir,26-09-2020,0.038,2.68,11.91,0.052,6.42,21.5,0.4,1.87,89.37,Good
USA,Florida,Reservoir,30-04-2022,0.046,0.68,11.62,0.003,6.75,16.5,0.09,1.09,96.86,Excellent
Canada,Quebec,Lake,09-01-2023,0.052,1.36,12.07,0.038,7.57,10.9,0.72,0.01,95.71,Excellent
Ireland,Galway,Canal,02-12-2020,0.113,1.46,11.51,0.019,6.7,19.3,1.19,2.22,92.51,Good
Ireland,Limerick,Canal,27-08-2021,0.031,0.26,12.99,0.001,7.42,15.2,0.28,2.23,98.14,Excellent
Ireland,Dublin,Stream,03-06-2020,0.0,0.93,13.88,0.018,7.5,0.0,0.83,5.49,98.83,Excellent
Canada,Quebec,Canal,17-10-2023,0.036,1.02,11.47,0.003,7.29,17.0,0.21,0.42,96.93,Excellent
England,Birmingham,River,19-03-2022,0.006,1.28,10.5,0.158,7.94,28.4,2.29,2.31,98.1,Excellent
USA,Florida,Creek,10-09-2020,0.015,0.44,9.93,0.049,7.21,16.8,1.22,1.3,98.51,Excellent
England,Birmingham,Pond,08-10-2023,,2.02,11.19,0.056,6.89,17.6,0.24,0.64,95.02,Excellent
Ireland,Limerick,Canal,31-07-2023,0.006,2.46,13.11,0.008,7.08,18.7,0.01,1.5,96.6,Excellent
Ireland,Dublin,Pond,23-04-2021,0.075,6.34,12.64,0.014,7.16,6.3,,1.71,88.31,Good
England,London,Creek,23-02-2023,0.057,1.58,12.02,0.002,7.1,12.1,0.14,0.88,95.19,Excellent
Ireland,Cork,Pond,09-05-2020,0.323,0.55,12.2,0.011,7.89,18.6,,7.89,83.13,Good
England,Birmingham,Pond,16-04-2022,0.097,0.15,14.67,0.199,6.4,18.7,0.17,2.36,89.45,Good
USA,Texas,River,17-03-2020,0.142,7.57,12.84,0.009,6.52,15.2,0.52,1.9,83.46,Good
Ireland,Limerick,River,18-07-2020,0.148,,11.6,0.035,7.56,4.7,0.01,0.01,90.53,Good
Canada,Quebec,Stream,18-07-2022,0.101,0.52,11.19,0.013,7.44,19.9,0.31,2.83,94.32,Good
Ireland,Limerick,Creek,12-11-2020,0.109,1.31,11.13,,6.96,17.1,0.27,0.76,92.93,Good
England,London,Canal,29-09-2022,0.251,2.81,10.67,0.151,7.17,4.2,0.69,0.66,83.96,Good
China,Jiangsu,Reservoir,08-03-2020,0.027,2.14,8.41,,6.86,21.3,2.0,0.16,91.98,Good
Ireland,Cork,Stream,29-06-2022,0.004,0.08,13.27,0.01,7.65,2.8,1.61,0.5,99.72,Excellent
Canada,British Columbia,River,05-11-2023,0.142,1.45,14.5,0.017,7.25,19.7,0.35,3.37,91.07,Good
Ireland,Galway,River,26-03-2022,0.069,1.29,10.26,0.011,6.42,26.3,0.72,0.31,89.53,Good
Ireland,Cork,River,20-07-2022,0.181,3.33,8.43,0.02,7.64,11.6,0.95,2.21,82.88,Good
USA,Texas,Pond,02-08-2023,0.077,4.17,13.4,0.017,7.3,7.4,0.44,0.06,90.91,Good
China,Beijing,River,14-11-2021,0.026,7.23,11.38,0.018,7.37,11.1,0.29,0.39,89.68,Good
Canada,Quebec,Canal,02-03-2023,0.055,3.77,12.26,0.018,7.22,24.7,0.31,1.87,92.54,Good
Canada,Ontario,Canal,09-02-2023,0.419,3.29,12.81,0.07,6.97,18.7,0.4,1.34,74.94,Fair
Canada,Quebec,Canal,22-04-2021,0.124,1.57,12.82,0.009,7.07,10.2,1.21,1.31,91.86,Good
Ireland,Cork,Canal,05-05-2023,0.011,2.85,14.78,0.036,7.53,3.0,0.57,0.69,95.9,Excellent
USA,Florida,Canal,23-10-2020,0.254,1.24,12.63,0.059,6.7,23.7,1.04,2.97,85.76,Good
Canada,British Columbia,Canal,23-12-2020,0.384,0.82,11.66,0.097,7.62,10.1,0.97,1.95,79.77,Fair
USA,California,Lake,31-01-2020,0.048,1.37,11.63,0.009,6.65,20.1,1.23,1.99,95.89,Excellent
Ireland,Cork,Creek,25-10-2021,0.17,2.44,9.78,0.04,7.05,14.4,2.73,0.08,87.91,Good
USA,Texas,Reservoir,17-04-2020,0.02,3.97,10.6,0.08,7.02,29.6,0.64,0.76,94.05,Good
Canada,Alberta,Creek,20-08-2020,0.159,2.23,13.73,0.014,6.96,8.1,0.78,1.27,89.24,Good
USA,New York,Stream,11-01-2022,0.037,0.68,10.98,0.022,7.0,15.6,0.78,0.61,97.32,Excellent
China,Beijing,Stream,28-10-2022,0.04,2.31,9.97,0.003,6.89,27.3,0.37,4.34,95.01,Excellent
Canada,Ontario,Pond,11-09-2023,0.022,2.0,12.61,0.027,6.35,26.1,1.11,0.16,90.62,Good
China,Guangdong,Stream,10-08-2023,0.073,0.14,13.28,0.01,6.72,7.3,2.82,0.18,96.17,Excellent
USA,California,Stream,02-04-2022,0.055,2.44,9.87,0.021,7.18,27.1,0.41,0.46,93.88,Good
England,London,Stream,29-12-2023,0.346,2.14,11.78,0.046,7.16,3.4,0.06,0.12,80.03,Good
England,London,River,21-10-2021,0.091,0.19,12.35,0.049,6.7,14.3,0.84,0.47,95.19,Excellent
China,Shanghai,River,15-09-2020,0.032,0.75,14.15,,7.61,5.8,1.61,4.4,97.48,Excellent
Ireland,Galway,Stream,08-05-2023,0.121,1.77,12.59,0.057,7.97,13.3,0.42,0.02,91.75,Good
China,Guangdong,Stream,01-11-2022,0.183,1.02,12.45,0.01,6.43,19.1,0.89,5.66,84.24,Good
China,Jiangsu,River,08-12-2023,0.246,2.76,12.48,0.028,7.17,8.1,0.24,0.85,84.25,Good
USA,Pennsylvania,Pond,16-03-2021,0.01,2.5,8.96,0.011,8.07,26.1,1.68,2.01,93.78,Good
England,Leeds,Lake,27-04-2022,0.006,0.57,11.25,0.031,7.54,9.4,1.06,1.4,98.97,Excellent
Ireland,Limerick,Stream,01-05-2022,0.079,5.4,12.56,0.011,6.91,16.9,0.77,2.04,89.32,Good
USA,Florida,Stream,02-10-2021,0.046,0.14,14.44,0.127,7.44,16.2,0.7,1.16,97.5,Excellent
Ireland,Galway,Lake,07-11-2023,0.061,3.1,13.56,0.05,6.81,4.0,0.23,1.83,93.1,Good
England,London,River,23-06-2020,0.275,2.1,10.24,0.003,7.56,2.1,1.39,0.52,83.61,Good
USA,New York,River,02-02-2022,0.068,0.12,12.07,0.131,7.01,14.6,0.09,2.17,96.48,Excellent
Canada,Ontario,Creek,24-02-2023,0.017,,9.07,0.009,6.24,29.0,,0.31,89.76,Good
China,Guangdong,Pond,07-09-2020,0.034,0.23,12.58,0.019,7.6,17.7,0.23,1.09,98.0,Excellent
England,Birmingham,Canal,24-09-2023,0.176,0.87,14.3,0.078,7.68,0.0,0.29,3.68,90.09,Good
England,London,Reservoir,14-05-2023,0.209,5.66,11.87,0.005,7.14,17.6,0.4,1.21,82.47,Good
Ireland,Galway,River,29-03-2023,0.113,3.92,13.14,0.091,6.09,3.8,1.57,2.07,82.41,Good
China,Shanghai,Lake,06-09-2023,0.118,0.4,13.62,0.013,8.23,6.0,0.1,0.27,93.59,Good
England,Manchester,Canal,09-08-2020,0.009,0.35,14.53,0.001,6.74,15.9,0.14,3.32,99.12,Excellent
Ireland,Galway,River,24-07-2021,0.094,1.46,12.68,0.014,6.85,4.9,0.05,0.74,93.49,Good
China,Shanghai,Canal,28-05-2022,0.096,6.43,11.54,0.041,7.05,9.1,0.43,0.84,87.17,Good
China,Beijing,Creek,09-09-2023,0.053,,10.39,0.102,8.14,18.1,0.8,1.14,95.61,Excellent
Ireland,Dublin,Lake,13-07-2021,0.041,0.25,10.42,0.008,7.47,17.0,0.94,0.35,97.63,Excellent
Ireland,Galway,Reservoir,13-01-2020,0.002,1.09,12.25,0.079,7.63,13.1,0.06,0.96,98.55,Excellent
Canada,Quebec,Creek,08-09-2023,0.029,2.33,11.81,0.001,6.48,31.2,1.03,1.15,90.5,Good
England,London,Lake,20-07-2023,0.157,0.81,11.61,0.03,7.39,18.1,0.16,2.9,91.14,Good
USA,California,Pond,22-12-2022,0.049,0.16,13.61,0.081,7.81,14.3,1.86,0.34,97.35,Excellent
Canada,Alberta,Stream,18-07-2022,0.163,0.94,12.59,0.028,7.62,0.0,,1.23,90.68,Good
Ireland,Cork,Reservoir,30-09-2021,0.047,0.86,11.83,0.004,7.31,6.4,0.37,0.94,96.59,Excellent
Ireland,Dublin,River,14-11-2020,0.001,1.32,11.96,0.082,7.65,25.2,1.19,1.19,98.32,Excellent
Canada,Ontario,Pond,16-06-2020,0.162,2.79,11.5,0.036,6.63,26.2,0.12,1.67,88.39,Good
Ireland,Limerick,Pond,18-05-2022,0.139,4.42,10.78,0.119,7.9,20.6,1.14,1.36,87.54,Good
England,Leeds,Stream,13-07-2021,0.1,1.73,11.84,0.009,6.96,21.3,0.51,1.89,92.83,Good
Canada,Ontario,Reservoir,30-05-2022,0.055,0.48,10.89,0.119,6.78,9.8,0.57,0.31,96.63,Excellent
USA,Florida,Pond,21-10-2023,0.173,0.97,11.1,0.054,6.81,16.8,1.27,0.48,90.17,Good
China,Jiangsu,Creek,28-09-2023,0.031,0.78,11.55,0.011,6.65,22.1,0.95,0.37,97.45,Excellent
Ireland,Dublin,Lake,20-03-2022,0.169,2.17,14.15,0.075,7.48,2.8,1.14,0.31,88.85,Good
China,Beijing,River,22-02-2021,0.03,0.06,10.92,0.002,7.33,10.7,1.69,0.42,98.42,Excellent
Ireland,Cork,Canal,08-10-2020,0.039,2.2,12.53,0.114,6.22,10.7,1.75,0.59,88.89,Good
Ireland,Galway,Reservoir,02-09-2020,0.01,0.14,12.45,0.34,7.37,17.5,0.32,2.07,99.33,Excellent
USA,New York,Pond,31-05-2022,0.028,12.09,12.18,0.002,6.43,17.9,0.42,0.21,78.17,Fair
Canada,Quebec,Stream,26-12-2022,0.106,0.75,12.61,0.013,7.18,13.9,0.01,2.17,93.75,Good
Canada,British Columbia,River,24-03-2022,0.181,0.08,11.88,0.048,7.92,25.7,0.66,1.47,90.83,Good
USA,New York,River,30-07-2022,0.058,2.83,11.38,0.061,7.32,23.4,0.39,0.39,93.55,Good
USA,Florida,Creek,29-05-2022,0.042,5.29,11.68,0.038,7.21,20.6,0.19,8.15,91.29,Good
China,Jiangsu,Pond,04-08-2023,0.112,1.21,10.4,0.057,7.51,22.1,,4.26,92.87,Good
England,Birmingham,River,09-04-2022,0.119,,10.08,0.052,7.26,15.0,0.26,0.25,91.09,Good
USA,Florida,Lake,19-06-2023,0.11,1.21,11.5,0.091,7.82,28.5,0.15,0.03,92.97,Good
England,Birmingham,River,13-06-2022,0.182,2.41,13.58,0.081,6.76,19.2,2.59,1.15,87.89,Good
USA,Texas,Stream,21-04-2023,0.254,0.65,12.6,0.044,6.0,12.6,0.72,0.66,78.98,Fair
England,London,Stream,27-09-2021,0.213,1.87,12.42,0.107,6.62,8.5,0.86,0.36,87.02,Good
Ireland,Cork,Reservoir,10-12-2020,0.003,11.78,13.99,0.114,7.51,8.6,0.78,5.44,85.12,Good
USA,Pennsylvania,Pond,21-08-2020,0.041,0.13,10.87,0.003,6.88,24.5,2.96,2.55,97.8,Excellent
China,Shanghai,Canal,16-12-2021,0.011,0.63,12.33,0.009,7.1,9.0,0.13,5.42,98.69,Excellent
Ireland,Cork,Lake,29-07-2020,0.039,3.2,12.67,0.018,6.43,1.4,0.21,0.21,88.65,Good
Canada,British Columbia,Lake,21-12-2020,0.166,0.47,12.35,0.008,6.82,4.6,0.34,3.0,91.13,Good
China,Shanghai,Canal,04-09-2023,0.163,1.66,13.27,0.007,7.29,0.0,0.7,1.06,89.78,Good
USA,Texas,Canal,10-07-2023,0.062,0.17,12.66,0.018,7.37,7.0,1.38,0.09,96.71,Excellent
England,Leeds,Canal,28-02-2023,0.085,2.58,9.47,0.055,6.31,5.5,1.2,2.97,85.23,Good
China,Jiangsu,Pond,02-03-2023,0.067,0.43,13.08,0.068,7.4,0.0,0.54,0.99,96.1,Excellent
China,Guangdong,Canal,08-07-2023,0.052,3.93,13.89,0.02,7.62,11.6,,2.16,92.48,Good
Ireland,Cork,Stream,19-05-2020,0.103,1.35,15.0,0.013,7.08,12.6,0.64,0.7,93.14,Good
England,Leeds,Pond,12-09-2021,0.02,1.69,13.32,0.016,8.01,7.9,0.2,0.3,96.86,Excellent
Ireland,Dublin,Reservoir,05-11-2022,0.16,0.94,9.68,0.023,6.93,21.7,0.07,1.22,90.03,Good
USA,Florida,Stream,14-07-2022,0.112,0.39,12.38,0.012,7.31,18.2,0.2,3.11,93.93,Good
USA,California,Reservoir,10-08-2021,0.016,2.77,13.51,0.031,6.78,7.9,0.35,0.15,95.71,Excellent
USA,California,Creek,01-05-2023,0.034,,11.3,0.012,7.81,21.6,0.22,3.59,98.18,Excellent
China,Jiangsu,Stream,03-04-2023,0.056,1.34,12.59,0.045,6.08,0.0,5.0,2.2,88.42,Good
China,Beijing,Stream,16-03-2023,0.003,0.37,10.51,0.011,7.43,24.4,0.33,1.07,99.38,Excellent
Canada,British Columbia,Creek,01-09-2022,0.004,0.1,12.59,0.04,7.58,16.7,0.46,2.74,99.69,Excellent
China,Shanghai,River,11-07-2022,0.129,0.1,12.79,0.006,9.0,2.6,0.75,0.49,85.93,Good
USA,Florida,Pond,21-06-2020,0.013,2.78,12.23,0.074,6.99,6.0,0.22,1.7,95.86,Excellent
China,Shanghai,River,22-05-2021,0.007,0.98,11.58,0.001,7.83,20.9,1.4,1.12,98.43,Excellent
England,Leeds,Creek,06-12-2022,0.11,6.51,11.11,0.135,6.84,21.0,0.25,1.42,86.35,Good
China,Shanghai,Reservoir,02-02-2022,0.294,3.77,14.66,0.108,7.17,5.6,1.07,0.49,80.59,Good
Ireland,Limerick,Stream,23-11-2021,0.03,1.17,9.92,0.021,7.64,26.8,1.44,4.11,96.82,Excellent
China,Beijing,Canal,16-07-2023,0.006,5.28,10.64,0.005,7.09,11.3,0.14,1.36,93.08,Good
Ireland,Dublin,Reservoir,12-07-2020,0.139,2.17,13.22,0.07,7.24,0.0,0.69,3.52,90.33,Good
China,Jiangsu,Reservoir,31-05-2021,0.001,0.11,12.6,0.012,6.38,19.5,0.87,0.79,94.25,Good
China,Shanghai,Reservoir,15-06-2020,0.021,0.63,13.89,0.01,7.67,13.1,,0.84,98.15,Excellent
China,Shanghai,Reservoir,27-09-2021,0.068,0.68,14.39,0.018,6.65,16.8,0.73,0.85,95.76,Excellent
England,Manchester,Creek,22-12-2023,0.268,,13.81,0.086,7.66,15.8,0.67,1.61,83.9,Good
USA,Florida,Creek,10-02-2022,0.001,0.79,13.46,0.088,6.78,13.3,1.29,0.17,98.96,Excellent
Ireland,Cork,Pond,10-12-2023,0.108,0.07,12.35,0.038,6.63,34.3,0.09,0.28,94.54,Good
China,Beijing,Pond,05-10-2023,0.171,5.57,14.27,0.205,7.5,1.0,0.24,5.25,84.5,Good
England,Birmingham,River,12-01-2022,0.095,0.51,12.07,0.015,6.25,8.1,0.69,0.67,88.33,Good
Ireland,Cork,Lake,30-11-2021,0.043,1.3,12.31,0.023,8.14,18.4,1.31,0.6,96.22,Excellent
England,Manchester,Lake,08-10-2020,0.165,0.96,12.82,0.087,6.44,0.0,0.39,0.92,85.24,Good
Canada,Ontario,Reservoir,26-07-2020,,0.25,11.39,0.058,7.48,18.3,0.61,0.05,86.11,Good
China,Beijing,Pond,20-11-2021,0.083,7.09,13.21,0.063,6.0,9.7,0.06,0.81,79.51,Fair
China,Shanghai,Creek,10-02-2022,0.108,5.58,10.43,0.004,6.71,17.1,0.35,1.2,87.61,Good
Canada,Quebec,Lake,19-11-2023,0.029,0.94,12.91,0.006,7.78,12.3,0.35,0.8,97.36,Excellent
China,Shanghai,Pond,15-06-2022,0.05,0.15,13.0,0.01,7.8,24.3,0.14,2.63,97.3,Excellent
USA,New York,Reservoir,17-10-2023,0.131,1.4,10.15,0.159,7.15,10.8,0.2,3.26,91.68,Good
Canada,Alberta,Creek,06-08-2021,0.14,1.03,13.05,0.038,7.36,26.0,0.91,0.84,91.73,Good
England,Manchester,Creek,04-05-2021,0.186,1.55,11.91,0.028,7.59,19.4,0.38,3.7,88.75,Good
Ireland,Limerick,Canal,01-02-2021,0.072,,10.77,0.018,7.08,20.2,0.68,0.59,94.74,Good
Ireland,Limerick,Stream,31-07-2021,0.164,2.22,10.37,0.147,7.15,18.4,0.41,2.29,89.04,Good
England,Leeds,Lake,12-02-2021,0.116,2.15,11.44,0.006,7.84,15.6,2.23,0.3,91.48,Good
China,Shanghai,Canal,27-05-2021,0.017,1.08,12.22,0.009,6.55,19.6,0.43,2.12,97.78,Excellent
USA,New York,Canal,30-01-2022,0.108,0.03,12.34,0.046,6.27,8.3,0.14,0.4,88.36,Good
China,Beijing,Pond,22-11-2022,0.004,0.1,12.08,0.043,7.45,12.1,0.4,0.04,99.67,Excellent
USA,Florida,River,24-11-2020,0.037,3.1,12.19,0.002,7.57,13.5,0.71,0.76,94.3,Good
Ireland,Limerick,Creek,28-10-2020,0.235,0.63,13.07,,7.22,18.5,0.64,0.08,87.48,Good
England,London,Lake,12-07-2022,0.025,3.28,10.63,,6.69,24.7,1.36,4.0,94.63,Good
Ireland,Dublin,Stream,19-04-2020,0.024,0.17,13.98,0.07,7.14,7.8,0.04,1.02,98.6,Excellent
England,Birmingham,Lake,01-03-2022,0.075,,12.49,0.009,7.02,0.0,0.68,2.46,94.97,Good
USA,Florida,Lake,27-02-2020,0.053,0.9,10.95,0.057,6.9,18.6,0.05,0.05,96.25,Excellent
Ireland,Dublin,Canal,24-08-2023,0.103,0.43,9.46,0.015,6.85,27.5,1.74,3.39,92.97,Good
Ireland,Cork,Lake,19-03-2020,0.175,2.23,10.4,0.056,6.7,9.0,1.39,0.76,88.46,Good
Ireland,Limerick,Pond,11-10-2020,0.111,0.89,10.57,0.016,6.95,18.9,0.07,7.36,93.32,Good
England,Leeds,Creek,11-01-2020,0.097,1.26,9.92,0.026,7.65,29.6,0.45,0.6,93.4,Good
USA,California,Reservoir,17-03-2021,0.272,0.45,11.4,0.058,7.56,24.2,1.39,1.22,85.81,Good
Canada,Alberta,River,13-08-2021,0.011,4.01,11.38,0.007,6.72,9.6,3.1,1.68,94.44,Good
Canada,British Columbia,River,07-04-2020,0.09,2.26,13.7,0.046,7.62,11.4,0.92,1.28,92.67,Good
Canada,Alberta,Pond,29-06-2023,0.027,2.36,11.32,0.049,6.37,10.8,,0.37,90.08,Good
England,London,River,20-10-2022,0.132,0.09,11.63,0.021,7.56,23.6,0.52,3.96,93.26,Good
China,Beijing,Pond,21-11-2022,0.019,1.59,11.89,0.018,6.99,0.0,0.87,5.04,97.05,Excellent
China,Shanghai,Pond,21-10-2020,0.007,1.39,13.63,0.005,8.16,28.0,0.73,0.63,97.91,Excellent
Ireland,Limerick,River,13-06-2023,0.075,0.69,12.04,0.06,7.11,21.2,1.84,2.36,95.4,Excellent
Ireland,Cork,Creek,03-05-2022,0.035,5.83,12.8,0.0,6.83,24.5,0.25,0.37,90.95,Good
Canada,Ontario,Creek,08-01-2022,0.039,2.61,10.49,0.055,7.79,26.5,0.65,0.63,94.78,Good
USA,Pennsylvania,Creek,05-11-2022,0.131,1.03,13.04,0.076,7.22,8.9,0.1,0.0,92.19,Good
China,Beijing,Stream,20-08-2022,0.083,6.32,12.67,0.036,6.74,25.8,0.07,1.19,87.93,Good
USA,New York,Reservoir,03-06-2021,0.027,0.98,8.48,0.005,7.27,26.3,,0.15,93.6,Good
USA,Florida,Canal,18-05-2020,0.036,0.79,15.0,0.026,7.91,0.0,0.89,1.72,97.19,Excellent
Ireland,Cork,Pond,07-09-2023,0.014,2.0,12.04,0.043,7.37,8.7,0.95,1.81,96.81,Excellent
USA,Pennsylvania,Pond,11-11-2021,0.021,1.93,14.35,0.001,7.47,17.9,0.27,0.88,96.55,Excellent
Canada,Ontario,Reservoir,23-01-2023,0.013,0.44,11.69,0.165,7.2,23.4,0.09,0.98,98.78,Excellent
